#
# com-youtube.ungraph - clustering coefficient. G(1134890, 2987624). Average clustering: 0.0808  OpenTriads: 1465313402 (0.9979)  ClosedTriads: 3056386 (0.0021) (Mon Mar 12 12:41:55 2018)
#
# Node degree	Average clustering coefficient
1	0
2	0.227885
3	0.194102
4	0.168182
5	0.150565
6	0.138873
7	0.127993
8	0.118892
9	0.114545
10	0.109454
11	0.108072
12	0.103243
13	0.102425
14	0.0987061
15	0.0938877
16	0.0921403
17	0.0911489
18	0.0897467
19	0.0884602
20	0.0881124
21	0.0861272
22	0.086002
23	0.08299
24	0.0822499
25	0.0803849
26	0.0825716
27	0.0803482
28	0.0790679
29	0.0812096
30	0.0802357
31	0.0808008
32	0.073569
33	0.0769934
34	0.0758825
35	0.0750898
36	0.0701414
37	0.0750845
38	0.0744313
39	0.0706315
40	0.0728786
41	0.0677205
42	0.0677368
43	0.0676611
44	0.065777
45	0.0674023
46	0.0706485
47	0.0694563
48	0.0677704
49	0.0604416
50	0.0665675
51	0.0664557
52	0.0572233
53	0.061802
54	0.0578832
55	0.0647486
56	0.0645695
57	0.0679942
58	0.0587054
59	0.0609876
60	0.061974
61	0.0576343
62	0.0572127
63	0.0593796
64	0.063125
65	0.0519657
66	0.0553588
67	0.0563607
68	0.0619408
69	0.0529666
70	0.0604506
71	0.0543921
72	0.0512417
73	0.0482595
74	0.0553368
75	0.0553524
76	0.0524901
77	0.0560217
78	0.0462232
79	0.0499399
80	0.0568443
81	0.0511713
82	0.0524083
83	0.0498801
84	0.0456361
85	0.0507786
86	0.0478743
87	0.0466122
88	0.0461589
89	0.0524547
90	0.0453986
91	0.0559441
92	0.0550809
93	0.0489426
94	0.0515223
95	0.0555189
96	0.0424794
97	0.0500953
98	0.0462156
99	0.0460718
100	0.0464391
101	0.0476167
102	0.0446742
103	0.0441349
104	0.0540801
105	0.0418047
106	0.0447131
107	0.0519757
108	0.0402735
109	0.0385859
110	0.0486864
111	0.0417999
112	0.0420335
113	0.0466182
114	0.0479886
115	0.0488621
116	0.0423217
117	0.0480128
118	0.0454723
119	0.030523
120	0.0412272
121	0.050141
122	0.0421115
123	0.0375269
124	0.0415399
125	0.0295556
126	0.0496544
127	0.0390326
128	0.0419221
129	0.0352067
130	0.033074
131	0.0357772
132	0.0517824
133	0.0391852
134	0.0452811
135	0.0333741
136	0.0356107
137	0.0454851
138	0.0340248
139	0.0280756
140	0.0412625
141	0.0422348
142	0.0443747
143	0.0387176
144	0.0412296
145	0.043996
146	0.044594
147	0.0430218
148	0.0379013
149	0.0415519
150	0.037988
151	0.0474673
152	0.0398191
153	0.0383819
154	0.0274579
155	0.0298492
156	0.0374173
157	0.0293429
158	0.0498557
159	0.0303191
160	0.0505267
161	0.0377329
162	0.0382639
163	0.0370154
164	0.0357444
165	0.0368141
166	0.0340607
167	0.0495174
168	0.0408013
169	0.0309509
170	0.0393422
171	0.0308513
172	0.0281926
173	0.0267599
174	0.0445248
175	0.0409956
176	0.0374906
177	0.0307897
178	0.0369854
179	0.0365263
180	0.0384854
181	0.0397084
182	0.0418119
183	0.0447176
184	0.0372674
185	0.0358809
186	0.0384523
187	0.0265737
188	0.0412058
189	0.039069
190	0.0465794
191	0.0438275
192	0.0400196
193	0.0319516
194	0.0305855
195	0.0402733
196	0.0326609
197	0.0312675
198	0.0433737
199	0.02912
200	0.0431968
201	0.0343012
202	0.0328348
203	0.0214172
204	0.0297411
205	0.0206719
206	0.041294
207	0.0232143
208	0.0380641
209	0.0277258
210	0.0152654
211	0.0307874
212	0.0277849
213	0.0334876
214	0.0166892
215	0.0520229
216	0.0260192
217	0.0464506
218	0.0339044
219	0.0348502
220	0.0248153
221	0.0199218
222	0.037045
223	0.0227775
224	0.0186826
225	0.0340146
226	0.0392055
227	0.0301798
228	0.031482
229	0.0169003
230	0.0277058
231	0.0240919
232	0.026154
233	0.0237963
234	0.0430423
235	0.0265927
236	0.0234403
237	0.0421486
238	0.043535
239	0.0338084
240	0.0333543
241	0.0236445
242	0.0306841
243	0.033929
244	0.033945
245	0.0338198
246	0.0319562
247	0.0167564
248	0.0261591
249	0.0289221
250	0.0303115
251	0.0286264
252	0.036167
253	0.0132484
254	0.026706
255	0.0356214
256	0.0308072
257	0.033459
258	0.0408651
259	0.0282542
260	0.0254975
261	0.0168484
262	0.0156649
263	0.0342805
264	0.0274884
265	0.0242338
266	0.0361824
267	0.0213371
268	0.0148593
269	0.0333393
270	0.0243839
271	0.0220364
272	0.0173151
273	0.0364226
274	0.0201183
275	0.0218912
276	0.0340002
277	0.0339734
278	0.0300951
279	0.0213679
280	0.031512
281	0.0454042
282	0.0293892
283	0.0291874
284	0.0502476
285	0.00580368
286	0.0193736
287	0.040557
288	0.0143607
289	0.00202646
290	0.0215921
291	0.03722
292	0.0204279
293	0.0514088
294	0.0256476
